Postal Code,Borough,Neighbourhood,Latitude,Longitude
M5K,Downtown Toronto,"Toronto Dominion Centre, Design Exchange",43.6532057,-79.4000493
M5L,Downtown Toronto,"Commerce Court, Victoria Hotel",43.66900510000001,-79.4422593
M5M,North York,"Bedford Park, Lawrence Manor East",43.6623015,-79.3894938
M5N,Central Toronto,Roselawn,43.6509432,-79.55472440000001
M5P,Central Toronto,"Forest Hill North & West, Forest Hill Road Park",,
M5R,Central Toronto,"The Annex, North Midtown, Yorkville",,
M5S,Downtown Toronto,"University of Toronto, Harbord",,
M5T,Downtown Toronto,"Kensington Market, Chinatown, Grange Park",,
M5V,Downtown Toronto,"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport",,
M5W,Downtown Toronto,Stn A PO Boxes,,
M5X,Downtown Toronto,"First Canadian Place, Underground city",,
M6A,North York,"Lawrence Manor, Lawrence Heights",43.7447342,-79.23947609999999
M6B,North York,Glencairn,43.8152522,-79.2845772
M6C,York,Humewood-Cedarvale,43.752758299999996,-79.4000493
M6E,York,Caledonia-Fairbanks,43.7284964,-79.49569740000001
M6G,Downtown Toronto,Christie,43.6795571,-79.352188
M6H,West Toronto,"Dufferin, Dovercourt Village",43.6795626,-79.37752940000001
M6J,West Toronto,"Little Portugal, Trinity",43.6408157,-79.38175229999999
M6K,West Toronto,"Brockton, Parkdale Village, Exhibition Place",43.6289467,-79.3944199
M6L,North York,"North Park, Maple Leaf Park, Upwood Park",43.647926700000006,-79.4197497
M6M,York,"Del Ray, Mount Dennis, Keelsdale and Silverthorn",43.6369656,-79.61581899999999
M6N,York,"Runnymede, The Junction North",43.6435152,-79.57720079999999
M6P,West Toronto,"High Park, The Junction South",,
M6R,West Toronto,"Parkdale, Roncesvalles",,
M6S,West Toronto,"Runnymede, Swansea",,
M7A,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.7279292,-79.26202940000002
M7R,Mississauga,Canada Post Gateway Processing Centre,,
M7Y,East Toronto,"Business reply mail Processing Centre, South Central Letter Processing Plant Toronto",,
M8V,Etobicoke,"New Toronto, Mimico South, Humber Bay Shores",,
M8W,Etobicoke,"Alderwood, Long Branch",,
M8X,Etobicoke,"The Kingsway, Montgomery Road, Old Mill North",,
M8Y,Etobicoke,"Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East",,
M8Z,Etobicoke,"Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West",,
M9A,Etobicoke,"Islington Avenue, Humber Valley Village",43.716316,-79.23947609999999
M9B,Etobicoke,"West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale",43.8037622,-79.3634517
M9C,Etobicoke,"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood",43.745905799999996,-79.352188
M9L,North York,Humber Summit,43.6911158,-79.47601329999999
M9M,North York,"Humberlea, Emery",43.60241370000001,-79.54348409999999
M9N,York,Weston,43.706876,-79.51818840000001
M9P,Etobicoke,Westmount,,
M9R,Etobicoke,"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens",,
M9V,Etobicoke,"South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens",,
M9W,Etobicoke,"Northwest, West Humber - Clairville",,
